n;type;threshold;msec
7200;"almost_sorted";5;2047916
7300;"almost_sorted";5;2069792
7400;"almost_sorted";5;2091583
7500;"almost_sorted";5;2106791
7600;"almost_sorted";5;2126125
7700;"almost_sorted";5;2144333
7800;"almost_sorted";5;2163333
7900;"almost_sorted";5;2178875
8000;"almost_sorted";5;2194291
8100;"almost_sorted";5;2198167
8200;"almost_sorted";5;2230125
8300;"almost_sorted";5;2266291
8400;"almost_sorted";5;2281709
8500;"almost_sorted";5;2297625
8600;"almost_sorted";5;2320833
8700;"almost_sorted";5;2338583
8800;"almost_sorted";5;2356209
8900;"almost_sorted";5;2386875
9000;"almost_sorted";5;2389041
9100;"almost_sorted";5;2414375
9200;"almost_sorted";5;2432458
9300;"almost_sorted";5;2460042
9400;"almost_sorted";5;2479792
9500;"almost_sorted";5;2500042
9600;"almost_sorted";5;2523375
9700;"almost_sorted";5;2536042
9800;"almost_sorted";5;2555166
9900;"almost_sorted";5;2568458
10000;"almost_sorted";5;2582625
500;"random";10;77750
600;"random";10;87916
700;"random";10;132333
800;"random";10;147167
900;"random";10;158000
1000;"random";10;169541
1100;"random";10;183333
1200;"random";10;194750
1300;"random";10;218083
1400;"random";10;283500
1500;"random";10;304292
1600;"random";10;316625
1700;"random";10;329583
1800;"random";10;343375
1900;"random";10;356916
2000;"random";10;371041
2100;"random";10;382917
2200;"random";10;397875
2300;"random";10;408208
2400;"random";10;422416
2500;"random";10;434416
2600;"random";10;472333
2700;"random";10;541792
2800;"random";10;608000
2900;"random";10;632542
3000;"random";10;649125
3100;"random";10;668584
3200;"random";10;678792
3300;"random";10;694750
3400;"random";10;712334
3500;"random";10;725042
3600;"random";10;737416
3700;"random";10;760625
3800;"random";10;772083
3900;"random";10;786458
4000;"random";10;801792
4100;"random";10;830333
4200;"random";10;838000
4300;"random";10;851958
4400;"random";10;861833
4500;"random";10;877167
4600;"random";10;890708
4700;"random";10;907958
4800;"random";10;922083
4900;"random";10;939125
5000;"random";10;950875
5100;"random";10;962208
5200;"random";10;1032041
5300;"random";10;1099792
5400;"random";10;1170625
5500;"random";10;1237458
5600;"random";10;1304625
5700;"random";10;1337334
5800;"random";10;1352666
5900;"random";10;1373709
6000;"random";10;1391083
6100;"random";10;1405000
6200;"random";10;1427750
6300;"random";10;1440708
6400;"random";10;1478250
6500;"random";10;1471000
6600;"random";10;1483750
6700;"random";10;1505292
6800;"random";10;1517292
6900;"random";10;1535167
7000;"random";10;1554291
7100;"random";10;1571750
7200;"random";10;1586625
7300;"random";10;1609083
7400;"random";10;1628875
7500;"random";10;1640250
7600;"random";10;1661875
7700;"random";10;1678292
7800;"random";10;1691750
7900;"random";10;1712208
8000;"random";10;1728959
8100;"random";10;1736208
8200;"random";10;1764916
8300;"random";10;1775542
8400;"random";10;1799708
8500;"random";10;1805458
8600;"random";10;1844583
8700;"random";10;1861208
8800;"random";10;1868458
8900;"random";10;1892917
9000;"random";10;1904792
9100;"random";10;1916125
9200;"random";10;1925666
9300;"random";10;1962041
9400;"random";10;1971250
9500;"random";10;1986209
9600;"random";10;2002167
9700;"random";10;2015125
9800;"random";10;2039208
9900;"random";10;2052917
10000;"random";10;2070500
500;"reversed";10;74333
600;"reversed";10;84875
700;"reversed";10;127084
800;"reversed";10;140459
900;"reversed";10;152208
1000;"reversed";10;164625
1100;"reversed";10;178042
1200;"reversed";10;189459
1300;"reversed";10;212416
1400;"reversed";10;277500
1500;"reversed";10;297083
1600;"reversed";10;310458
1700;"reversed";10;322750
1800;"reversed";10;337375
1900;"reversed";10;352000
2000;"reversed";10;364625
2100;"reversed";10;379583
2200;"reversed";10;393250
2300;"reversed";10;404583
2400;"reversed";10;417792
2500;"reversed";10;430125
2600;"reversed";10;467833
2700;"reversed";10;537416
2800;"reversed";10;600000
2900;"reversed";10;622958
3000;"reversed";10;639917
3100;"reversed";10;656792
3200;"reversed";10;671625
3300;"reversed";10;684834
3400;"reversed";10;700417
3500;"reversed";10;714333
3600;"reversed";10;729125
3700;"reversed";10;746958
3800;"reversed";10;763333
3900;"reversed";10;775250
4000;"reversed";10;790917
4100;"reversed";10;810417
4200;"reversed";10;820583
4300;"reversed";10;838417
4400;"reversed";10;855584
4500;"reversed";10;870416
4600;"reversed";10;883166
4700;"reversed";10;899625
4800;"reversed";10;914334
4900;"reversed";10;928750
5000;"reversed";10;940958
5100;"reversed";10;954541
5200;"reversed";10;1019750
5300;"reversed";10;1089042
5400;"reversed";10;1157459
5500;"reversed";10;1229375
5600;"reversed";10;1321750
5700;"reversed";10;1347250
5800;"reversed";10;1403292
5900;"reversed";10;1427708
6000;"reversed";10;1378292
6100;"reversed";10;1393166
6200;"reversed";10;1415583
6300;"reversed";10;1428792
6400;"reversed";10;1437250
6500;"reversed";10;1459708
6600;"reversed";10;1474292
6700;"reversed";10;1493875
6800;"reversed";10;1507083
6900;"reversed";10;1528500
7000;"reversed";10;1543625
7100;"reversed";10;1561125
7200;"reversed";10;1580583
7300;"reversed";10;1595625
7400;"reversed";10;1624667
7500;"reversed";10;1729042
7600;"reversed";10;1654667
7700;"reversed";10;1668166
7800;"reversed";10;1682083
7900;"reversed";10;1714292
8000;"reversed";10;1720291
8100;"reversed";10;1735666
8200;"reversed";10;1752084
8300;"reversed";10;1761083
8400;"reversed";10;1807375
8500;"reversed";10;1798000
8600;"reversed";10;1814459
8700;"reversed";10;1829208
8800;"reversed";10;1861417
8900;"reversed";10;1906167
9000;"reversed";10;1923125
9100;"reversed";10;1939000
9200;"reversed";10;1948041
9300;"reversed";10;1987875
